federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,survey_date,survey_type,deficiency_prefix,deficiency_category,deficiency_tag_number,tag_version,deficiency_description,scope_severity_code,deficiency_corrected,correction_date,inspection_cycle,standard_deficiency,complaint_deficiency,infection_control_inspection_deficiency,location,processing_date
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2019-11-22,Fire Safety,K,Egress Deficiencies,0211,New,"Keep aisles, corridors, and exits free of obstruction in case of emergency.",D,"Deficient, Provider has date of correction",2020-01-15,1,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2019-11-22,Fire Safety,K,Egress Deficiencies,0225,New,Have stairways and smokeproof enclosures used as exits that meet safety requirements.,C,"Deficient, Provider has date of correction",2020-01-15,1,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2019-11-22,Fire Safety,K,Smoke Deficiencies,0363,New,Install corridor and hallway doors that block smoke.,D,"Deficient, Provider has date of correction",2020-01-15,1,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2018-07-27,Fire Safety,E,Emergency Preparedness Deficiencies,0015,New,Address subsistence needs for staff and patients.,C,"Deficient, Provider has date of correction",2018-09-07,2,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2018-07-27,Fire Safety,K,Egress Deficiencies,0281,New,Install proper backup exit lighting.,D,"Deficient, Provider has date of correction",2018-09-07,2,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2018-07-27,Fire Safety,K,Smoke Deficiencies,0324,New,Provide properly protected cooking facilities.,D,"Deficient, Provider has date of correction",2018-09-07,2,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2018-07-27,Fire Safety,K,Services Deficiencies,0511,New,Have properly installed electrical wiring and gas equipment.,D,"Deficient, Provider has date of correction",2018-09-07,2,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Fire Safety,K,Egress Deficiencies,0281,New,Install proper backup exit lighting.,E,"Deficient, Provider has date of correction",2017-05-05,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Fire Safety,K,Services Deficiencies,0522,New,Have an externally vented heating system.,D,"Deficient, Provider has date of correction",2017-05-05,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,2017-03-21,Fire Safety,K,"Gas, Vacuum, and Electrical Systems Deficiencies",0918,New,Have generator or other power source capable of supplying service within 10 seconds.,D,"Deficient, Provider has date of correction",2017-05-05,3,Y,N,N,"1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2019-03-05,Fire Safety,K,Egress Deficiencies,0224,New,"Provide sliding doors free of hazards, operable without special knowledge or effort, and meet weight requirements to set door in motion.",B,"Deficient, Provider has no plan of correction",,2,Y,N,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2017-07-10,Fire Safety,K,Egress Deficiencies,0224,New,"Provide sliding doors free of hazards, operable without special knowledge or effort, and meet weight requirements to set door in motion.",B,Waiver has been granted,2017-08-31,3,Y,N,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,2017-07-10,Fire Safety,K,Smoke Deficiencies,0351,New,Install an approved automatic sprinkler system.,D,"Deficient, Provider has date of correction",2017-08-31,3,Y,N,N,"271-11 76TH AVE,NEW HYDE PARK,NY,11040",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2020-09-15,Fire Safety,K,Egress Deficiencies,0211,New,"Keep aisles, corridors, and exits free of obstruction in case of emergency.",D,"Deficient, Provider has date of correction",2020-11-13,1,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,2017-07-03,Fire Safety,K,Smoke Deficiencies,0331,New,Construct fire resistant interior walls.,D,"Deficient, Provider has date of correction",2017-08-18,3,Y,N,N,"199 COMMUNITY DRIVE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Fire Safety,K,Construction Deficiencies,0161,New,Use approved construction type or materials.,E,Waiver has been granted,,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Fire Safety,K,Egress Deficiencies,0211,New,"Keep aisles, corridors, and exits free of obstruction in case of emergency.",D,"Deficient, Provider has no plan of correction",,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Fire Safety,K,Egress Deficiencies,0252,New,Provide at least two remote exits on each floor or fire section of the building.,B,"Deficient, Provider has date of correction",2019-12-16,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Fire Safety,K,Smoke Deficiencies,0351,New,Install an approved automatic sprinkler system.,D,"Deficient, Provider has date of correction",2019-12-16,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Fire Safety,K,Smoke Deficiencies,0353,New,"Inspect, test, and maintain automatic sprinkler systems.",C,"Deficient, Provider has date of correction",2019-12-16,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2019-10-18,Fire Safety,K,Smoke Deficiencies,0355,New,"Properly select, install, inspect, or maintain portable fire extinguishes.",E,"Deficient, Provider has date of correction",2019-12-16,1,Y,N,N,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
