federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,penalty_date,penalty_type,fine_amount,payment_denial_start_date,payment_denial_length_in_days,location,processing_date
335483,THE GRAND REHABILITATION AND NURSING AT GREAT NECK,15 ST PAULS PLACE,GREAT NECK,NY,11021,2021-08-23,Fine,650,,,"15 ST PAULS PLACE,GREAT NECK,NY,11021",2022-01-01
335023,A HOLLY PATTERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,2021-03-15,Fine,655,,,"875 JERUSALEM AVENUE,UNIONDALE,NY,11553",2022-01-01
335023,A HOLLY PATTERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,2021-03-22,Fine,983,,,"875 JERUSALEM AVENUE,UNIONDALE,NY,11553",2022-01-01
335023,A HOLLY PATTERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,2021-05-03,Fine,1300,,,"875 JERUSALEM AVENUE,UNIONDALE,NY,11553",2022-01-01
335023,A HOLLY PATTERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,2021-05-10,Fine,1625,,,"875 JERUSALEM AVENUE,UNIONDALE,NY,11553",2022-01-01
335023,A HOLLY PATTERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,2021-05-17,Fine,1965,,,"875 JERUSALEM AVENUE,UNIONDALE,NY,11553",2022-01-01
335024,BEACH TERRACE CARE CENTER,640 WEST BROADWAY,LONG BEACH,NY,11561,2020-06-29,Fine,655,,,"640 WEST BROADWAY,LONG BEACH,NY,11561",2022-01-01
335024,BEACH TERRACE CARE CENTER,640 WEST BROADWAY,LONG BEACH,NY,11561,2021-04-12,Fine,983,,,"640 WEST BROADWAY,LONG BEACH,NY,11561",2022-01-01
335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,275 W MERRICK ROAD,FREEPORT,NY,11520,2021-05-10,Fine,655,,,"275 W MERRICK ROAD,FREEPORT,NY,11520",2022-01-01
335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,275 W MERRICK ROAD,FREEPORT,NY,11520,2021-06-21,Fine,975,,,"275 W MERRICK ROAD,FREEPORT,NY,11520",2022-01-01
335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,275 W MERRICK ROAD,FREEPORT,NY,11520,2021-06-28,Fine,1300,,,"275 W MERRICK ROAD,FREEPORT,NY,11520",2022-01-01
335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,275 W MERRICK ROAD,FREEPORT,NY,11520,2021-07-05,Fine,1625,,,"275 W MERRICK ROAD,FREEPORT,NY,11520",2022-01-01
335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,275 W MERRICK ROAD,FREEPORT,NY,11520,2021-07-12,Fine,1950,,,"275 W MERRICK ROAD,FREEPORT,NY,11520",2022-01-01
335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,275 W MERRICK ROAD,FREEPORT,NY,11520,2021-07-19,Fine,2275,,,"275 W MERRICK ROAD,FREEPORT,NY,11520",2022-01-01
335158,OCEANSIDE CARE CENTER INC,2914 LINCOLN AVENUE,OCEANSIDE,NY,11572,2020-01-22,Fine,10825,,,"2914 LINCOLN AVENUE,OCEANSIDE,NY,11572",2022-01-01
335160,LYNBROOK RESTORATIVE THERAPY AND NURSING,243 ATLANTIC AVENUE,LYNBROOK,NY,11563,2020-04-29,Fine,12765,,,"243 ATLANTIC AVENUE,LYNBROOK,NY,11563",2022-01-01
335162,THE GRAND REHABILITATION AND NURSING AT SOUTH POIN,ONE LONG BEACH ROAD,ISLAND PARK,NY,11558,2021-09-06,Fine,650,,,"ONE LONG BEACH ROAD,ISLAND PARK,NY,11558",2022-01-01
335279,MAYFAIR CARE CENTER,100 BALDWIN ROAD,HEMPSTEAD,NY,11550,2021-06-21,Fine,650,,,"100 BALDWIN ROAD,HEMPSTEAD,NY,11550",2022-01-01
